dataset,target_size,target_average_degree,target_centralisation,density_tolerance,average_degree_tolerance,centralisation_tolerance,n_networks
n30_ad3_c1,30,3,0.1,0.01,0.29,0.05,100
n30_ad3_c3,30,3,0.3,0.01,0.29,0.05,100
n30_ad3_c5,30,3,0.5,0.01,0.29,0.05,100
n30_ad6_c1,30,6,0.1,0.01,0.29,0.05,100
n30_ad6_c3,30,6,0.3,0.01,0.29,0.05,100
n30_ad6_c5,30,6,0.5,0.01,0.29,0.05,100
n60_ad3_c1,60,3,0.1,0.01,0.59,0.05,100
n60_ad3_c3,60,3,0.3,0.01,0.59,0.05,100
n60_ad3_c5,60,3,0.5,0.01,0.59,0.05,100
n60_ad6_c1,60,6,0.1,0.01,0.59,0.05,100
n60_ad6_c3,60,6,0.3,0.01,0.59,0.05,100
n60_ad6_c5,60,6,0.5,0.01,0.59,0.05,100
n120_ad3_c1,120,3,0.1,0.01,1.19,0.05,100
n120_ad3_c3,120,3,0.3,0.01,1.19,0.05,100
n120_ad3_c5,120,3,0.5,0.01,1.19,0.05,100
n120_ad6_c1,120,6,0.1,0.01,1.19,0.05,100
n120_ad6_c3,120,6,0.3,0.01,1.19,0.05,100
n120_ad6_c5,120,6,0.5,0.01,1.19,0.05,100
