"dataset","target_size","target_average_degree","target_centralisation","spotlight_pct","alpha","p_obs_spotlit","p_obs_nonspotlit","n_networks","n_fragmented","proportion_fragmented"
"n30_ad3_c1",30,3,0.1,0.01,0,0.2,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.2,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.2,0.6,100,99,0.99
"n30_ad3_c1",30,3,0.1,0.01,0,0.2,0.8,100,92,0.92
"n30_ad3_c1",30,3,0.1,0.01,0,0.2,1,100,75,0.75
"n30_ad3_c1",30,3,0.1,0.01,0,0.4,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.4,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.4,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.4,0.8,100,99,0.99
"n30_ad3_c1",30,3,0.1,0.01,0,0.4,1,100,47,0.47
"n30_ad3_c1",30,3,0.1,0.01,0,0.6,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.6,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.6,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.6,0.8,100,87,0.87
"n30_ad3_c1",30,3,0.1,0.01,0,0.6,1,100,28,0.28
"n30_ad3_c1",30,3,0.1,0.01,0,0.8,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.8,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,0.8,0.6,100,99,0.99
"n30_ad3_c1",30,3,0.1,0.01,0,0.8,0.8,100,87,0.87
"n30_ad3_c1",30,3,0.1,0.01,0,0.8,1,100,12,0.12
"n30_ad3_c1",30,3,0.1,0.01,0,1,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,1,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,1,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,0,1,0.8,100,83,0.83
"n30_ad3_c1",30,3,0.1,0.01,0,1,1,100,0,0
"n30_ad3_c1",30,3,0.1,0.01,1,0.2,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.2,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.2,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.2,0.8,100,95,0.95
"n30_ad3_c1",30,3,0.1,0.01,1,0.2,1,100,69,0.69
"n30_ad3_c1",30,3,0.1,0.01,1,0.4,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.4,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.4,0.6,100,99,0.99
"n30_ad3_c1",30,3,0.1,0.01,1,0.4,0.8,100,97,0.97
"n30_ad3_c1",30,3,0.1,0.01,1,0.4,1,100,47,0.47
"n30_ad3_c1",30,3,0.1,0.01,1,0.6,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.6,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.6,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.6,0.8,100,90,0.9
"n30_ad3_c1",30,3,0.1,0.01,1,0.6,1,100,29,0.29
"n30_ad3_c1",30,3,0.1,0.01,1,0.8,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.8,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.8,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,0.8,0.8,100,87,0.87
"n30_ad3_c1",30,3,0.1,0.01,1,0.8,1,100,12,0.12
"n30_ad3_c1",30,3,0.1,0.01,1,1,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,1,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,1,1,0.6,100,99,0.99
"n30_ad3_c1",30,3,0.1,0.01,1,1,0.8,100,83,0.83
"n30_ad3_c1",30,3,0.1,0.01,1,1,1,100,0,0
"n30_ad3_c1",30,3,0.1,0.01,2,0.2,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.2,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.2,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.2,0.8,100,95,0.95
"n30_ad3_c1",30,3,0.1,0.01,2,0.2,1,100,71,0.71
"n30_ad3_c1",30,3,0.1,0.01,2,0.4,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.4,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.4,0.6,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.4,0.8,100,96,0.96
"n30_ad3_c1",30,3,0.1,0.01,2,0.4,1,100,44,0.44
"n30_ad3_c1",30,3,0.1,0.01,2,0.6,0.2,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.6,0.4,100,100,1
"n30_ad3_c1",30,3,0.1,0.01,2,0.6,0.6,100,99,0.99
"n30_ad3_c1",30,3,0.1,0.01,2,0.6,0.8,100,90,0.9
"n30_ad3_c1",30,3,0.1,0.01,2,0.6,1,100,21,0.21
"n30_ad3_c1",30,3,0.1,0.01,2,0.8,0.2,100,100,1
